Date,credit,inflation,portfolio,profit,revenue
2014-01-01,64.0,1.0,2.0,2.0,2.0
2014-01-02,100.0,2.0,3.0,3.0,5.0
2014-01-03,97.0,2.0,3.0,3.0,5.0
2014-01-04,76.0,1.0,2.0,3.0,3.0
2014-01-05,64.0,1.0,2.0,3.0,2.0
2014-01-06,91.0,2.0,3.0,4.0,5.0
2014-01-07,90.0,2.0,3.0,4.0,5.0
2014-01-08,90.0,2.0,3.0,4.0,5.0
2014-01-09,85.0,2.0,3.0,4.0,5.0
2014-01-10,90.0,2.0,3.0,3.0,5.0
2014-01-11,73.0,1.0,2.0,3.0,3.0
2014-01-12,59.0,1.0,2.0,3.0,3.0
2014-01-13,88.0,2.0,3.0,4.0,6.0
2014-01-14,89.0,2.0,3.0,4.0,6.0
2014-01-15,91.0,2.0,3.0,4.0,6.0
2014-01-16,89.0,2.0,3.0,4.0,6.0
2014-01-17,92.0,2.0,3.0,4.0,5.0
2014-01-18,74.0,1.0,2.0,3.0,3.0
2014-01-19,58.0,1.0,2.0,3.0,3.0
2014-01-20,81.0,2.0,3.0,4.0,5.0
2014-01-21,87.0,2.0,3.0,4.0,6.0
2014-01-22,85.0,2.0,3.0,4.0,6.0
2014-01-23,85.0,2.0,3.0,4.0,6.0
2014-01-24,89.0,2.0,3.0,4.0,5.0
2014-01-25,68.0,1.0,2.0,3.0,3.0
2014-01-26,59.0,1.0,2.0,3.0,3.0
2014-01-27,86.0,2.0,3.0,4.0,6.0
2014-01-28,88.0,2.0,3.0,4.0,6.0
2014-01-29,90.0,2.0,3.0,5.0,7.0
2014-01-30,89.0,2.0,4.0,4.0,7.0
2014-01-31,97.0,2.0,3.0,4.0,7.0
2014-02-01,77.0,1.0,2.0,3.0,4.0
2014-02-02,59.0,1.0,2.0,3.0,4.0
2014-02-03,89.0,2.0,3.0,4.0,7.0
2014-02-04,95.0,2.0,3.0,4.0,7.0
2014-02-05,91.0,2.0,3.0,4.0,7.0
2014-02-06,89.0,2.0,3.0,4.0,7.0
2014-02-07,92.0,2.0,3.0,4.0,7.0
2014-02-08,73.0,1.0,2.0,3.0,4.0
2014-02-09,60.0,1.0,2.0,3.0,4.0
2014-02-10,86.0,2.0,3.0,4.0,7.0
2014-02-11,90.0,2.0,4.0,4.0,7.0
2014-02-12,85.0,2.0,3.0,4.0,7.0
