Date,revenue,debt,inflation,s&p 500,dow jones industrial,profit,credit,money,portfolio,economy
2014-01-05,65.0,47.0,81.0,27.0,16.0,82.0,92.0,76.0,93.0,67.0
2014-01-12,69.0,50.0,83.0,30.0,15.0,83.0,91.0,77.0,98.0,74.0
2014-01-19,68.0,48.0,82.0,27.0,12.0,84.0,86.0,77.0,94.0,73.0
2014-01-26,79.0,53.0,88.0,34.0,15.0,87.0,89.0,76.0,97.0,79.0
2014-02-02,85.0,54.0,89.0,38.0,23.0,86.0,89.0,77.0,95.0,80.0
2014-02-09,84.0,53.0,83.0,28.0,18.0,84.0,86.0,73.0,88.0,78.0
2014-02-16,89.0,51.0,85.0,29.0,17.0,87.0,86.0,75.0,98.0,78.0
2014-02-23,88.0,51.0,87.0,33.0,16.0,90.0,89.0,74.0,96.0,84.0
2014-03-02,84.0,52.0,81.0,37.0,19.0,90.0,91.0,76.0,96.0,83.0
2014-03-09,81.0,49.0,83.0,29.0,17.0,87.0,85.0,74.0,96.0,78.0
2014-03-16,78.0,48.0,100.0,28.0,17.0,87.0,83.0,73.0,93.0,77.0
2014-03-23,83.0,51.0,91.0,28.0,17.0,89.0,86.0,74.0,96.0,79.0
2014-03-30,86.0,48.0,86.0,29.0,15.0,86.0,89.0,74.0,98.0,76.0
2014-04-06,91.0,49.0,82.0,31.0,19.0,88.0,88.0,75.0,90.0,77.0
2014-04-13,96.0,48.0,81.0,28.0,18.0,87.0,89.0,75.0,88.0,75.0
2014-04-20,75.0,50.0,89.0,30.0,16.0,83.0,84.0,72.0,88.0,75.0
2014-04-27,78.0,49.0,85.0,25.0,17.0,82.0,88.0,73.0,92.0,80.0
2014-05-04,69.0,49.0,87.0,24.0,15.0,82.0,88.0,75.0,96.0,82.0
2014-05-11,63.0,48.0,84.0,26.0,15.0,80.0,85.0,71.0,93.0,78.0
2014-05-18,64.0,47.0,79.0,24.0,14.0,80.0,83.0,73.0,90.0,76.0
2014-05-25,60.0,43.0,74.0,23.0,13.0,72.0,80.0,71.0,93.0,68.0
2014-06-01,63.0,46.0,79.0,27.0,14.0,74.0,87.0,75.0,89.0,70.0
2014-06-08,61.0,45.0,70.0,25.0,14.0,74.0,82.0,71.0,84.0,65.0
2014-06-15,64.0,43.0,74.0,27.0,14.0,73.0,82.0,74.0,85.0,63.0
