Date,debt,dow jones industrial,economy,money,s&p 500
2011-01-01,5.0,0.0,6.0,88.0,0.0
2011-01-02,7.0,0.0,7.0,97.0,0.0
2011-01-03,10.0,0.0,9.0,98.0,1.0
2011-01-04,12.0,0.0,10.0,97.0,1.0
2011-01-05,12.0,0.0,11.0,100.0,1.0
2011-01-06,11.0,0.0,11.0,97.0,1.0
2011-01-07,11.0,0.0,10.0,96.0,1.0
2011-01-08,8.0,0.0,8.0,87.0,0.0
2011-01-09,7.0,0.0,9.0,89.0,0.0
2011-01-10,10.0,0.0,10.0,92.0,1.0
2011-01-11,11.0,0.0,10.0,90.0,1.0
2011-01-12,10.0,0.0,10.0,91.0,1.0
2011-01-13,11.0,1.0,10.0,98.0,1.0
2011-01-14,9.0,0.0,10.0,99.0,1.0
2011-01-15,7.0,0.0,7.0,93.0,0.0
2011-01-16,8.0,0.0,8.0,89.0,1.0
2011-01-17,10.0,0.0,10.0,94.0,0.0
2011-01-18,11.0,0.0,10.0,94.0,1.0
2011-01-19,12.0,0.0,11.0,94.0,1.0
2011-01-20,11.0,0.0,10.0,92.0,1.0
2011-01-21,11.0,1.0,9.0,91.0,1.0
2011-01-22,6.0,0.0,7.0,90.0,0.0
2011-01-23,7.0,0.0,8.0,89.0,0.0
2011-01-24,11.0,0.0,10.0,91.0,1.0
2011-01-25,11.0,0.0,11.0,93.0,1.0
2011-01-26,12.0,1.0,11.0,90.0,1.0
2011-01-27,12.0,0.0,10.0,92.0,1.0
2011-01-28,11.0,1.0,10.0,91.0,1.0
2011-01-29,8.0,0.0,8.0,90.0,0.0
2011-01-30,8.0,0.0,8.0,88.0,0.0
2011-01-31,11.0,0.0,11.0,94.0,1.0
2011-02-01,12.0,0.0,11.0,95.0,1.0
2011-02-02,11.0,0.0,10.0,92.0,1.0
2011-02-03,11.0,0.0,10.0,91.0,1.0
2011-02-04,10.0,0.0,10.0,89.0,1.0
2011-02-05,7.0,0.0,8.0,85.0,0.0
2011-02-06,7.0,0.0,8.0,86.0,0.0
2011-02-07,10.0,0.0,11.0,90.0,1.0
2011-02-08,12.0,0.0,12.0,92.0,1.0
2011-02-09,11.0,0.0,11.0,92.0,1.0
2011-02-10,11.0,0.0,11.0,89.0,1.0
2011-02-11,10.0,1.0,10.0,89.0,1.0
2011-02-12,7.0,0.0,8.0,84.0,0.0
2011-02-13,7.0,0.0,8.0,84.0,0.0
2011-02-14,11.0,0.0,12.0,88.0,1.0
2011-02-15,12.0,0.0,11.0,89.0,0.0
2011-02-16,11.0,0.0,11.0,90.0,1.0
2011-02-17,12.0,0.0,10.0,89.0,1.0
2011-02-18,11.0,0.0,9.0,87.0,1.0
2011-02-19,6.0,0.0,7.0,85.0,0.0
2011-02-20,7.0,0.0,8.0,81.0,0.0
2011-02-21,10.0,0.0,10.0,88.0,0.0
2011-02-22,11.0,0.0,11.0,91.0,1.0
2011-02-23,11.0,1.0,12.0,92.0,1.0
2011-02-24,10.0,1.0,11.0,89.0,1.0
2011-02-25,9.0,1.0,10.0,89.0,1.0
2011-02-26,7.0,0.0,9.0,83.0,0.0
2011-02-27,7.0,0.0,10.0,86.0,0.0
2011-02-28,10.0,0.0,12.0,88.0,0.0
2011-03-01,12.0,0.0,12.0,93.0,1.0
2011-03-02,10.0,1.0,12.0,90.0,1.0
2011-03-03,11.0,0.0,12.0,90.0,1.0
2011-03-04,10.0,1.0,10.0,89.0,1.0
2011-03-05,7.0,0.0,9.0,86.0,0.0
2011-03-06,7.0,0.0,10.0,85.0,0.0
2011-03-07,11.0,0.0,12.0,92.0,1.0
2011-03-08,10.0,0.0,12.0,93.0,1.0
2011-03-09,11.0,0.0,12.0,88.0,0.0
2011-03-10,11.0,0.0,12.0,93.0,1.0
2011-03-11,9.0,1.0,11.0,87.0,1.0
2011-03-12,6.0,0.0,8.0,76.0,0.0
2011-03-13,7.0,0.0,10.0,74.0,0.0
