Date,debt
2013-01-01,62.0
2013-01-02,100.0
2013-01-03,83.0
2013-01-04,85.0
2013-01-05,60.0
2013-01-06,62.0
2013-01-07,84.0
2013-01-08,90.0
2013-01-09,79.0
2013-01-10,78.0
2013-01-11,80.0
2013-01-12,54.0
2013-01-13,57.0
2013-01-14,96.0
2013-01-15,96.0
2013-01-16,91.0
2013-01-17,86.0
2013-01-18,78.0
2013-01-19,55.0
2013-01-20,50.0
2013-01-21,67.0
2013-01-22,79.0
2013-01-23,87.0
2013-01-24,82.0
2013-01-25,68.0
2013-01-26,58.0
2013-01-27,55.0
2013-01-28,76.0
2013-01-29,76.0
2013-01-30,82.0
2013-01-31,82.0
2013-02-01,73.0
2013-02-02,53.0
2013-02-03,54.0
2013-02-04,71.0
2013-02-05,73.0
2013-02-06,85.0
2013-02-07,74.0
2013-02-08,70.0
2013-02-09,49.0
2013-02-10,48.0
2013-02-11,76.0
2013-02-12,75.0
2013-02-13,83.0
2013-02-14,77.0
2013-02-15,65.0
2013-02-16,46.0
2013-02-17,46.0
2013-02-18,64.0
2013-02-19,73.0
2013-02-20,76.0
2013-02-21,78.0
2013-02-22,72.0
2013-02-23,50.0
2013-02-24,51.0
2013-02-25,72.0
2013-02-26,82.0
2013-02-27,86.0
2013-02-28,79.0
2013-03-01,77.0
2013-03-02,53.0
2013-03-03,56.0
2013-03-04,81.0
2013-03-05,78.0
2013-03-06,81.0
2013-03-07,79.0
2013-03-08,66.0
2013-03-09,50.0
2013-03-10,49.0
2013-03-11,71.0
2013-03-12,74.0
2013-03-13,72.0
2013-03-14,71.0
2013-03-15,62.0
2013-03-16,56.0
2013-03-17,49.0
2013-03-18,76.0
2013-03-19,78.0
2013-03-20,84.0
2013-03-21,78.0
2013-03-22,68.0
2013-03-23,43.0
2013-03-24,50.0
2013-03-25,68.0
2013-03-26,79.0
2013-03-27,75.0
2013-03-28,71.0
2013-03-29,50.0
2013-03-30,48.0
2013-03-31,44.0
2013-04-01,80.0
2013-04-02,90.0
2013-04-03,88.0
2013-04-04,85.0
2013-04-05,78.0
2013-04-06,60.0
2013-04-07,57.0
2013-04-08,89.0
2013-04-09,94.0
2013-04-10,93.0
2013-04-11,100.0
2013-04-12,80.0
2013-04-13,58.0
2013-04-14,58.0
2013-04-15,85.0
