Date,debt,dow jones industrial,economy,money,s&p 500
2016-01-01,5.0,0.0,6.0,85.0,1.0
2016-01-02,5.0,0.0,7.0,87.0,1.0
2016-01-03,6.0,0.0,7.0,86.0,1.0
2016-01-04,8.0,2.0,9.0,91.0,2.0
2016-01-05,9.0,2.0,10.0,92.0,1.0
2016-01-06,9.0,2.0,10.0,90.0,2.0
2016-01-07,9.0,3.0,11.0,93.0,2.0
2016-01-08,8.0,2.0,11.0,91.0,2.0
2016-01-09,5.0,1.0,8.0,90.0,1.0
2016-01-10,5.0,0.0,8.0,91.0,1.0
2016-01-11,8.0,2.0,10.0,87.0,2.0
2016-01-12,9.0,2.0,11.0,89.0,2.0
2016-01-13,10.0,2.0,13.0,94.0,2.0
2016-01-14,10.0,3.0,12.0,100.0,2.0
2016-01-15,9.0,4.0,11.0,90.0,3.0
2016-01-16,6.0,1.0,9.0,86.0,1.0
2016-01-17,6.0,0.0,8.0,83.0,1.0
2016-01-18,8.0,1.0,11.0,86.0,1.0
2016-01-19,9.0,3.0,12.0,90.0,2.0
2016-01-20,10.0,4.0,12.0,90.0,3.0
2016-01-21,10.0,3.0,13.0,91.0,2.0
2016-01-22,9.0,3.0,11.0,90.0,2.0
2016-01-23,6.0,1.0,8.0,84.0,1.0
2016-01-24,6.0,0.0,9.0,84.0,0.0
2016-01-25,9.0,2.0,12.0,85.0,2.0
2016-01-26,10.0,2.0,11.0,87.0,2.0
2016-01-27,10.0,2.0,11.0,94.0,2.0
2016-01-28,10.0,2.0,12.0,94.0,2.0
2016-01-29,9.0,2.0,11.0,92.0,2.0
2016-01-30,6.0,1.0,8.0,90.0,1.0
2016-01-31,6.0,0.0,9.0,88.0,1.0
2016-02-01,10.0,2.0,11.0,93.0,1.0
2016-02-02,11.0,2.0,12.0,90.0,1.0
2016-02-03,10.0,2.0,11.0,91.0,2.0
2016-02-04,10.0,2.0,12.0,90.0,1.0
2016-02-05,9.0,2.0,11.0,89.0,1.0
2016-02-06,6.0,0.0,8.0,82.0,1.0
2016-02-07,6.0,0.0,8.0,83.0,0.0
2016-02-08,9.0,2.0,12.0,90.0,2.0
2016-02-09,10.0,2.0,11.0,91.0,2.0
2016-02-10,10.0,2.0,11.0,90.0,2.0
2016-02-11,10.0,3.0,12.0,90.0,2.0
2016-02-12,9.0,2.0,11.0,85.0,2.0
2016-02-13,6.0,0.0,8.0,77.0,1.0
2016-02-14,8.0,0.0,9.0,75.0,1.0
2016-02-15,18.0,1.0,10.0,85.0,1.0
2016-02-16,18.0,2.0,11.0,87.0,2.0
2016-02-17,18.0,2.0,11.0,89.0,2.0
2016-02-18,17.0,2.0,11.0,86.0,2.0
2016-02-19,15.0,2.0,10.0,87.0,1.0
2016-02-20,12.0,0.0,8.0,78.0,1.0
2016-02-21,9.0,0.0,9.0,83.0,0.0
2016-02-22,12.0,2.0,12.0,84.0,1.0
2016-02-23,12.0,2.0,13.0,84.0,2.0
2016-02-24,11.0,2.0,12.0,85.0,1.0
2016-02-25,10.0,1.0,12.0,83.0,1.0
2016-02-26,10.0,2.0,10.0,86.0,1.0
2016-02-27,7.0,0.0,8.0,78.0,1.0
2016-02-28,7.0,0.0,9.0,78.0,0.0
2016-02-29,9.0,1.0,12.0,86.0,1.0
2016-03-01,11.0,2.0,12.0,88.0,2.0
2016-03-02,10.0,2.0,12.0,86.0,1.0
2016-03-03,10.0,2.0,12.0,85.0,2.0
2016-03-04,9.0,2.0,11.0,83.0,1.0
2016-03-05,6.0,0.0,7.0,79.0,1.0
2016-03-06,6.0,0.0,9.0,79.0,1.0
2016-03-07,9.0,1.0,12.0,84.0,1.0
2016-03-08,10.0,2.0,12.0,84.0,1.0
2016-03-09,10.0,2.0,12.0,82.0,1.0
2016-03-10,9.0,2.0,11.0,84.0,1.0
2016-03-11,9.0,2.0,10.0,84.0,1.0
2016-03-12,6.0,0.0,7.0,77.0,1.0
2016-03-13,6.0,0.0,9.0,78.0,0.0
2016-03-14,9.0,2.0,11.0,84.0,1.0
2016-03-15,9.0,2.0,11.0,84.0,1.0
2016-03-16,9.0,1.0,11.0,83.0,1.0
2016-03-17,9.0,1.0,11.0,84.0,1.0
2016-03-18,8.0,2.0,10.0,81.0,1.0
2016-03-19,6.0,0.0,7.0,77.0,1.0
2016-03-20,6.0,0.0,8.0,78.0,0.0
2016-03-21,10.0,1.0,11.0,86.0,1.0
2016-03-22,9.0,1.0,10.0,81.0,1.0
2016-03-23,8.0,1.0,10.0,84.0,1.0
2016-03-24,8.0,2.0,9.0,80.0,1.0
2016-03-25,6.0,1.0,8.0,80.0,1.0
2016-03-26,5.0,0.0,6.0,76.0,1.0
2016-03-27,5.0,0.0,7.0,75.0,0.0
2016-03-28,8.0,1.0,10.0,84.0,1.0
2016-03-29,9.0,2.0,10.0,84.0,1.0
2016-03-30,9.0,2.0,10.0,84.0,1.0
2016-03-31,9.0,2.0,10.0,86.0,1.0
2016-04-01,5.0,1.0,6.0,54.0,1.0
2016-04-02,4.0,0.0,5.0,50.0,0.0
2016-04-03,4.0,0.0,5.0,52.0,0.0
2016-04-04,6.0,1.0,7.0,55.0,1.0
2016-04-05,6.0,1.0,7.0,57.0,1.0
2016-04-06,6.0,1.0,7.0,61.0,1.0
2016-04-07,6.0,1.0,7.0,55.0,1.0
2016-04-08,5.0,1.0,6.0,54.0,1.0
2016-04-09,4.0,0.0,5.0,52.0,0.0
2016-04-10,4.0,0.0,5.0,58.0,0.0
2016-04-11,6.0,1.0,7.0,58.0,1.0
2016-04-12,6.0,1.0,7.0,52.0,1.0
2016-04-13,6.0,1.0,7.0,53.0,1.0
2016-04-14,6.0,1.0,7.0,55.0,1.0
2016-04-15,5.0,1.0,6.0,53.0,1.0
2016-04-16,4.0,0.0,5.0,49.0,0.0
2016-04-17,4.0,0.0,5.0,48.0,0.0
2016-04-18,6.0,1.0,7.0,55.0,1.0
2016-04-19,6.0,1.0,7.0,55.0,1.0
2016-04-20,6.0,1.0,7.0,55.0,1.0
2016-04-21,6.0,1.0,7.0,56.0,1.0
2016-04-22,5.0,1.0,6.0,55.0,1.0
2016-04-23,4.0,0.0,5.0,50.0,0.0
2016-04-24,4.0,0.0,6.0,50.0,0.0
2016-04-25,6.0,1.0,7.0,54.0,1.0
2016-04-26,6.0,1.0,7.0,54.0,1.0
2016-04-27,5.0,1.0,7.0,54.0,1.0
2016-04-28,6.0,1.0,7.0,54.0,1.0
2016-04-29,5.0,1.0,6.0,56.0,1.0
2016-04-30,4.0,0.0,5.0,52.0,0.0
2016-05-01,4.0,0.0,5.0,51.0,0.0
2016-05-02,6.0,1.0,7.0,55.0,1.0
2016-05-03,7.0,1.0,7.0,56.0,1.0
2016-05-04,6.0,1.0,7.0,55.0,1.0
2016-05-05,5.0,1.0,8.0,58.0,1.0
2016-05-06,5.0,1.0,6.0,55.0,1.0
2016-05-07,4.0,0.0,5.0,51.0,0.0
2016-05-08,4.0,0.0,5.0,49.0,0.0
2016-05-09,6.0,1.0,7.0,55.0,1.0
2016-05-10,6.0,1.0,7.0,57.0,1.0
2016-05-11,6.0,1.0,7.0,55.0,1.0
2016-05-12,6.0,1.0,7.0,57.0,1.0
2016-05-13,5.0,1.0,6.0,62.0,1.0
2016-05-14,4.0,0.0,5.0,61.0,0.0
2016-05-15,4.0,0.0,5.0,59.0,0.0
2016-05-16,5.0,1.0,7.0,59.0,1.0
2016-05-17,6.0,1.0,7.0,58.0,1.0
2016-05-18,6.0,1.0,7.0,58.0,1.0
2016-05-19,6.0,1.0,6.0,56.0,1.0
2016-05-20,5.0,1.0,6.0,55.0,1.0
2016-05-21,4.0,0.0,5.0,58.0,0.0
2016-05-22,4.0,0.0,5.0,56.0,0.0
2016-05-23,5.0,1.0,7.0,56.0,1.0
2016-05-24,5.0,1.0,7.0,59.0,1.0
2016-05-25,5.0,1.0,6.0,58.0,1.0
2016-05-26,5.0,1.0,6.0,59.0,1.0
2016-05-27,5.0,1.0,6.0,58.0,1.0
2016-05-28,3.0,0.0,5.0,57.0,0.0
2016-05-29,3.0,0.0,5.0,56.0,0.0
2016-05-30,4.0,0.0,5.0,53.0,0.0
2016-05-31,5.0,1.0,6.0,58.0,1.0
2016-06-01,6.0,1.0,6.0,58.0,1.0
2016-06-02,5.0,1.0,6.0,58.0,1.0
2016-06-03,5.0,1.0,6.0,57.0,1.0
2016-06-04,3.0,0.0,5.0,59.0,0.0
2016-06-05,3.0,0.0,5.0,58.0,0.0
2016-06-06,7.0,1.0,6.0,55.0,1.0
2016-06-07,7.0,1.0,6.0,58.0,1.0
2016-06-08,6.0,1.0,6.0,59.0,1.0
2016-06-09,6.0,1.0,6.0,56.0,1.0
2016-06-10,5.0,1.0,5.0,56.0,1.0
2016-06-11,4.0,0.0,4.0,55.0,0.0
2016-06-12,4.0,0.0,5.0,53.0,0.0
2016-06-13,5.0,1.0,5.0,57.0,1.0
2016-06-14,5.0,1.0,6.0,56.0,1.0
2016-06-15,5.0,1.0,5.0,55.0,1.0
2016-06-16,5.0,1.0,5.0,56.0,1.0
2016-06-17,4.0,1.0,5.0,56.0,1.0
2016-06-18,3.0,0.0,4.0,57.0,0.0
2016-06-19,3.0,0.0,5.0,68.0,0.0
2016-06-20,5.0,1.0,6.0,100.0,1.0
2016-06-21,5.0,1.0,6.0,63.0,1.0
2016-06-22,6.0,1.0,6.0,58.0,1.0
2016-06-23,5.0,1.0,5.0,55.0,1.0
2016-06-24,5.0,3.0,11.0,70.0,3.0
2016-06-25,3.0,0.0,6.0,58.0,1.0
2016-06-26,3.0,0.0,6.0,57.0,0.0
2016-06-27,5.0,2.0,6.0,59.0,2.0
2016-06-28,5.0,2.0,6.0,59.0,2.0
2016-06-29,5.0,2.0,6.0,59.0,1.0
2016-06-30,5.0,1.0,5.0,58.0,1.0
2016-07-01,7.0,2.0,8.0,92.0,1.0
2016-07-02,6.0,0.0,7.0,95.0,1.0
2016-07-03,5.0,0.0,8.0,89.0,0.0
2016-07-04,6.0,0.0,7.0,86.0,1.0
2016-07-05,8.0,1.0,8.0,92.0,1.0
2016-07-06,8.0,2.0,8.0,91.0,1.0
2016-07-07,8.0,1.0,9.0,89.0,1.0
2016-07-08,7.0,2.0,8.0,92.0,1.0
2016-07-09,6.0,0.0,7.0,95.0,1.0
2016-07-10,6.0,0.0,8.0,100.0,0.0
2016-07-11,8.0,2.0,8.0,94.0,2.0
2016-07-12,8.0,2.0,9.0,92.0,2.0
2016-07-13,9.0,2.0,9.0,92.0,2.0
2016-07-14,8.0,1.0,9.0,91.0,2.0
2016-07-15,7.0,2.0,8.0,88.0,1.0
2016-07-16,6.0,0.0,7.0,85.0,1.0
2016-07-17,6.0,0.0,8.0,90.0,1.0
2016-07-18,8.0,1.0,8.0,92.0,2.0
2016-07-19,8.0,1.0,8.0,88.0,1.0
2016-07-20,8.0,1.0,9.0,89.0,1.0
2016-07-21,10.0,1.0,9.0,89.0,1.0
2016-07-22,9.0,1.0,8.0,85.0,1.0
2016-07-23,6.0,0.0,7.0,84.0,0.0
2016-07-24,6.0,0.0,8.0,84.0,0.0
2016-07-25,8.0,1.0,9.0,90.0,1.0
2016-07-26,9.0,1.0,9.0,88.0,1.0
2016-07-27,9.0,1.0,9.0,88.0,1.0
2016-07-28,10.0,1.0,9.0,90.0,1.0
2016-07-29,9.0,1.0,8.0,88.0,1.0
2016-07-30,7.0,0.0,7.0,85.0,1.0
2016-07-31,6.0,0.0,8.0,88.0,0.0
2016-08-01,8.0,1.0,8.0,90.0,1.0
2016-08-02,9.0,1.0,9.0,90.0,1.0
2016-08-03,8.0,1.0,8.0,88.0,1.0
2016-08-04,9.0,1.0,9.0,89.0,1.0
2016-08-05,7.0,1.0,8.0,87.0,1.0
2016-08-06,5.0,0.0,7.0,80.0,1.0
2016-08-07,6.0,0.0,8.0,81.0,0.0
2016-08-08,8.0,1.0,8.0,85.0,1.0
2016-08-09,8.0,1.0,9.0,90.0,1.0
2016-08-10,9.0,1.0,9.0,89.0,1.0
2016-08-11,8.0,1.0,9.0,91.0,1.0
2016-08-12,8.0,1.0,8.0,89.0,1.0
2016-08-13,6.0,0.0,7.0,88.0,0.0
2016-08-14,6.0,0.0,7.0,86.0,1.0
2016-08-15,8.0,1.0,8.0,89.0,1.0
2016-08-16,9.0,1.0,9.0,89.0,1.0
2016-08-17,8.0,1.0,8.0,86.0,1.0
2016-08-18,8.0,1.0,9.0,88.0,1.0
2016-08-19,8.0,1.0,8.0,86.0,1.0
2016-08-20,6.0,0.0,7.0,83.0,0.0
2016-08-21,6.0,0.0,8.0,85.0,1.0
2016-08-22,8.0,1.0,9.0,88.0,1.0
2016-08-23,9.0,1.0,10.0,86.0,1.0
2016-08-24,8.0,1.0,9.0,86.0,1.0
2016-08-25,8.0,1.0,10.0,88.0,1.0
2016-08-26,8.0,1.0,9.0,87.0,1.0
2016-08-27,6.0,0.0,7.0,84.0,0.0
2016-08-28,6.0,0.0,8.0,81.0,0.0
2016-08-29,8.0,1.0,10.0,85.0,1.0
2016-08-30,9.0,1.0,10.0,84.0,1.0
2016-08-31,9.0,1.0,10.0,87.0,1.0
2016-09-01,9.0,1.0,11.0,88.0,1.0
2016-09-02,8.0,1.0,10.0,88.0,1.0
2016-09-03,5.0,0.0,7.0,83.0,0.0
2016-09-04,5.0,0.0,8.0,83.0,0.0
2016-09-05,7.0,0.0,9.0,83.0,0.0
2016-09-06,9.0,1.0,11.0,86.0,1.0
2016-09-07,9.0,1.0,11.0,90.0,1.0
2016-09-08,9.0,1.0,12.0,89.0,1.0
2016-09-09,7.0,1.0,10.0,87.0,1.0
2016-09-10,6.0,0.0,7.0,86.0,0.0
2016-09-11,6.0,0.0,9.0,83.0,1.0
2016-09-12,9.0,2.0,11.0,87.0,2.0
2016-09-13,9.0,1.0,11.0,85.0,1.0
2016-09-14,9.0,1.0,11.0,85.0,1.0
2016-09-15,9.0,1.0,12.0,87.0,1.0
2016-09-16,8.0,1.0,10.0,83.0,1.0
2016-09-17,6.0,0.0,8.0,81.0,0.0
2016-09-18,6.0,0.0,9.0,79.0,0.0
2016-09-19,9.0,1.0,11.0,87.0,1.0
2016-09-20,9.0,1.0,12.0,86.0,1.0
2016-09-21,9.0,1.0,12.0,85.0,1.0
2016-09-22,9.0,1.0,12.0,84.0,1.0
2016-09-23,8.0,1.0,10.0,83.0,1.0
2016-09-24,6.0,0.0,7.0,79.0,1.0
2016-09-25,6.0,0.0,9.0,80.0,0.0
2016-09-26,9.0,1.0,12.0,85.0,1.0
2016-09-27,14.0,1.0,13.0,85.0,1.0
2016-09-28,10.0,1.0,12.0,85.0,1.0
2016-09-29,10.0,1.0,11.0,86.0,1.0
2016-09-30,9.0,1.0,10.0,89.0,1.0
2016-10-01,6.0,0.0,7.0,74.0,0.0
2016-10-02,6.0,0.0,7.0,71.0,0.0
2016-10-03,8.0,1.0,10.0,75.0,1.0
2016-10-04,9.0,1.0,11.0,78.0,1.0
2016-10-05,9.0,1.0,11.0,77.0,1.0
2016-10-06,8.0,1.0,10.0,74.0,1.0
2016-10-07,7.0,1.0,9.0,76.0,1.0
2016-10-08,5.0,0.0,7.0,72.0,0.0
2016-10-09,6.0,0.0,8.0,71.0,0.0
2016-10-10,9.0,1.0,10.0,75.0,1.0
2016-10-11,9.0,1.0,11.0,76.0,1.0
2016-10-12,9.0,1.0,11.0,77.0,1.0
2016-10-13,8.0,1.0,11.0,77.0,1.0
2016-10-14,7.0,1.0,10.0,77.0,1.0
2016-10-15,5.0,0.0,7.0,71.0,0.0
2016-10-16,5.0,0.0,8.0,75.0,0.0
2016-10-17,8.0,1.0,10.0,75.0,1.0
2016-10-18,9.0,1.0,11.0,77.0,1.0
2016-10-19,9.0,1.0,11.0,76.0,1.0
2016-10-20,13.0,1.0,11.0,76.0,1.0
2016-10-21,8.0,1.0,9.0,74.0,1.0
2016-10-22,5.0,0.0,7.0,71.0,0.0
2016-10-23,6.0,0.0,8.0,69.0,0.0
2016-10-24,9.0,1.0,11.0,76.0,1.0
2016-10-25,9.0,1.0,11.0,79.0,1.0
2016-10-26,9.0,1.0,10.0,77.0,1.0
2016-10-27,8.0,1.0,10.0,76.0,1.0
2016-10-28,7.0,1.0,9.0,76.0,1.0
2016-10-29,6.0,0.0,7.0,70.0,0.0
2016-10-30,5.0,0.0,8.0,70.0,0.0
2016-10-31,8.0,1.0,10.0,75.0,1.0
2016-11-01,9.0,1.0,11.0,81.0,1.0
2016-11-02,9.0,1.0,10.0,80.0,1.0
2016-11-03,8.0,1.0,11.0,80.0,1.0
2016-11-04,7.0,1.0,10.0,75.0,1.0
2016-11-05,6.0,0.0,7.0,71.0,1.0
2016-11-06,6.0,0.0,8.0,72.0,1.0
2016-11-07,8.0,1.0,11.0,77.0,1.0
2016-11-08,9.0,1.0,11.0,83.0,1.0
