Date,debt,dow jones industrial,economy,money,s&p 500
2014-01-01,5.0,0.0,6.0,90.0,1.0
2014-01-02,8.0,1.0,7.0,100.0,1.0
2014-01-03,7.0,1.0,7.0,94.0,1.0
2014-01-04,5.0,0.0,7.0,92.0,0.0
2014-01-05,6.0,0.0,8.0,89.0,0.0
2014-01-06,9.0,1.0,8.0,94.0,1.0
2014-01-07,9.0,1.0,9.0,89.0,1.0
2014-01-08,9.0,1.0,9.0,87.0,1.0
2014-01-09,9.0,1.0,11.0,87.0,1.0
2014-01-10,8.0,1.0,9.0,86.0,1.0
2014-01-11,6.0,0.0,7.0,85.0,0.0
2014-01-12,6.0,0.0,9.0,86.0,0.0
2014-01-13,8.0,1.0,10.0,90.0,1.0
2014-01-14,9.0,1.0,10.0,88.0,1.0
2014-01-15,9.0,1.0,10.0,89.0,1.0
2014-01-16,9.0,1.0,11.0,88.0,1.0
2014-01-17,8.0,1.0,10.0,88.0,1.0
2014-01-18,6.0,0.0,7.0,86.0,0.0
2014-01-19,6.0,0.0,8.0,88.0,0.0
2014-01-20,8.0,0.0,10.0,87.0,1.0
2014-01-21,9.0,1.0,10.0,88.0,1.0
2014-01-22,9.0,1.0,11.0,88.0,1.0
2014-01-23,9.0,1.0,10.0,90.0,1.0
2014-01-24,9.0,1.0,9.0,89.0,1.0
2014-01-25,5.0,0.0,8.0,88.0,1.0
2014-01-26,6.0,0.0,9.0,87.0,1.0
2014-01-27,10.0,1.0,11.0,93.0,1.0
2014-01-28,10.0,1.0,11.0,89.0,1.0
2014-01-29,10.0,1.0,11.0,87.0,1.0
2014-01-30,9.0,1.0,11.0,91.0,1.0
2014-01-31,9.0,1.0,10.0,91.0,1.0
2014-02-01,6.0,0.0,8.0,85.0,1.0
2014-02-02,6.0,0.0,8.0,83.0,0.0
2014-02-03,9.0,1.0,10.0,93.0,1.0
2014-02-04,11.0,2.0,11.0,91.0,1.0
2014-02-05,10.0,1.0,11.0,85.0,1.0
2014-02-06,10.0,1.0,11.0,85.0,1.0
2014-02-07,9.0,1.0,10.0,87.0,1.0
2014-02-08,7.0,0.0,8.0,84.0,0.0
2014-02-09,7.0,0.0,9.0,84.0,0.0
2014-02-10,9.0,1.0,11.0,87.0,1.0
2014-02-11,10.0,1.0,11.0,86.0,1.0
2014-02-12,12.0,1.0,11.0,89.0,1.0
2014-02-13,11.0,1.0,10.0,84.0,1.0
2014-02-14,8.0,1.0,9.0,82.0,1.0
2014-02-15,5.0,0.0,7.0,80.0,0.0
2014-02-16,6.0,0.0,8.0,82.0,0.0
2014-02-17,9.0,0.0,11.0,88.0,1.0
2014-02-18,10.0,1.0,12.0,90.0,1.0
2014-02-19,9.0,1.0,11.0,88.0,1.0
2014-02-20,9.0,1.0,11.0,88.0,1.0
2014-02-21,9.0,1.0,10.0,87.0,1.0
2014-02-22,6.0,0.0,8.0,84.0,1.0
2014-02-23,6.0,0.0,9.0,85.0,0.0
2014-02-24,10.0,1.0,12.0,89.0,1.0
2014-02-25,10.0,1.0,12.0,89.0,1.0
2014-02-26,10.0,1.0,13.0,86.0,1.0
2014-02-27,10.0,1.0,11.0,90.0,1.0
2014-02-28,9.0,1.0,11.0,88.0,1.0
2014-03-01,7.0,0.0,8.0,84.0,1.0
2014-03-02,6.0,0.0,10.0,84.0,1.0
2014-03-03,9.0,1.0,12.0,93.0,1.0
2014-03-04,10.0,1.0,11.0,92.0,1.0
2014-03-05,9.0,1.0,11.0,88.0,1.0
2014-03-06,9.0,1.0,11.0,92.0,1.0
2014-03-07,8.0,1.0,10.0,89.0,1.0
2014-03-08,6.0,0.0,8.0,83.0,0.0
2014-03-09,5.0,0.0,9.0,85.0,1.0
2014-03-10,9.0,1.0,12.0,91.0,1.0
2014-03-11,9.0,1.0,11.0,90.0,1.0
2014-03-12,9.0,1.0,11.0,86.0,1.0
2014-03-13,9.0,1.0,11.0,87.0,1.0
2014-03-14,8.0,1.0,9.0,84.0,1.0
2014-03-15,6.0,0.0,8.0,78.0,0.0
2014-03-16,6.0,0.0,9.0,81.0,0.0
2014-03-17,9.0,1.0,11.0,83.0,1.0
2014-03-18,10.0,1.0,11.0,88.0,1.0
2014-03-19,10.0,1.0,11.0,87.0,1.0
2014-03-20,9.0,1.0,11.0,89.0,1.0
2014-03-21,8.0,1.0,10.0,84.0,1.0
2014-03-22,6.0,0.0,8.0,81.0,1.0
2014-03-23,6.0,0.0,9.0,81.0,1.0
2014-03-24,9.0,1.0,11.0,87.0,1.0
2014-03-25,10.0,1.0,11.0,89.0,1.0
2014-03-26,10.0,1.0,11.0,88.0,1.0
2014-03-27,9.0,1.0,10.0,86.0,1.0
2014-03-28,9.0,1.0,9.0,85.0,1.0
2014-03-29,6.0,0.0,8.0,84.0,0.0
2014-03-30,6.0,0.0,9.0,82.0,0.0
2014-03-31,9.0,1.0,11.0,87.0,1.0
2014-04-01,6.0,1.0,8.0,61.0,1.0
2014-04-02,6.0,1.0,7.0,61.0,1.0
2014-04-03,6.0,1.0,8.0,62.0,1.0
2014-04-04,5.0,1.0,7.0,62.0,1.0
2014-04-05,4.0,0.0,5.0,57.0,0.0
2014-04-06,4.0,0.0,6.0,57.0,0.0
2014-04-07,6.0,1.0,8.0,63.0,1.0
2014-04-08,7.0,1.0,8.0,60.0,1.0
2014-04-09,7.0,1.0,7.0,60.0,1.0
2014-04-10,6.0,1.0,7.0,65.0,1.0
2014-04-11,6.0,1.0,7.0,61.0,1.0
2014-04-12,4.0,0.0,5.0,57.0,0.0
2014-04-13,4.0,0.0,6.0,62.0,0.0
2014-04-14,6.0,1.0,8.0,64.0,1.0
2014-04-15,7.0,1.0,7.0,62.0,1.0
2014-04-16,6.0,1.0,7.0,61.0,1.0
2014-04-17,6.0,1.0,7.0,62.0,1.0
2014-04-18,5.0,1.0,5.0,59.0,0.0
2014-04-19,4.0,0.0,5.0,55.0,0.0
2014-04-20,4.0,0.0,5.0,55.0,0.0
2014-04-21,6.0,1.0,7.0,64.0,1.0
2014-04-22,7.0,1.0,8.0,62.0,1.0
2014-04-23,8.0,1.0,8.0,62.0,1.0
2014-04-24,7.0,1.0,8.0,60.0,0.0
2014-04-25,6.0,1.0,7.0,60.0,1.0
